,Place,Term,Suffix,First_Letter,First_Two_Letter,First_Three_Letter,First_Four_Letter,Last_Letter,Last_Two_Letter,Last_Three_Letter,Last_Four_Letter,First_Letter_Type,Last_Letter_Type,Length,Second_Letter,Second_Letter_Type,Third_Letter,Third_Letter_Type,Fourth_Letter,Fourth_Letter_Type,Second_Last_Letter,Second_Last_Letter_Type,Third_Last_Letter,Third_Last_Letter_Type,Fourth_Last_Letter,Fourth_Last_Letter_Type
0, Albania, Albanians,ns,A,Al,Alb,Alba,a,ia,nia,ania,vowel,vowel,7,l,consanent,b,consanent,a,vowel,i,vowel,n,consanent,a,vowel
1, Angola, Angolans,ns,A,An,Ang,Ango,a,la,ola,gola,vowel,vowel,6,n,consanent,g,consanent,o,vowel,l,consanent,o,vowel,g,consanent
2, Anguilla, Anguillans,ns,A,An,Ang,Angu,a,la,lla,illa,vowel,vowel,8,n,consanent,g,consanent,u,vowel,l,consanent,l,consanent,i,vowel
3, Antarctica, Antarcticans,ns,A,An,Ant,Anta,a,ca,ica,tica,vowel,vowel,10,n,consanent,t,consanent,a,vowel,c,consanent,i,vowel,t,consanent
4, Armenia, Armenians,ns,A,Ar,Arm,Arme,a,ia,nia,enia,vowel,vowel,7,r,consanent,m,consanent,e,vowel,i,vowel,n,consanent,e,vowel
5, Aruba, Arubans,ns,A,Ar,Aru,Arub,a,ba,uba,ruba,vowel,vowel,5,r,consanent,u,vowel,b,consanent,b,consanent,u,vowel,r,consanent
6, Asia, Asians,ns,A,As,Asi,Asia,a,ia,sia,Asia,vowel,vowel,4,s,consanent,i,vowel,a,vowel,i,vowel,s,consanent,A,vowel
7, Austria, Austrians,ns,A,Au,Aus,Aust,a,ia,ria,tria,vowel,vowel,7,u,vowel,s,consanent,t,consanent,i,vowel,r,consanent,t,consanent
8, Azerbaijan, Azerbaijanis,is,A,Az,Aze,Azer,n,an,jan,ijan,vowel,consanent,10,z,consanent,e,vowel,r,consanent,a,vowel,j,consanent,i,vowel
9, Bahrain, Bahrainis,is,B,Ba,Bah,Bahr,n,in,ain,rain,consanent,consanent,7,a,vowel,h,consanent,r,consanent,i,vowel,a,vowel,r,consanent
10, Bangladesh, Bangladeshis,is,B,Ba,Ban,Bang,h,sh,esh,desh,consanent,consanent,10,a,vowel,n,consanent,g,consanent,s,consanent,e,vowel,d,consanent
11, Belarus, Belarusians,ians,B,Be,Bel,Bela,s,us,rus,arus,consanent,consanent,7,e,vowel,l,consanent,a,vowel,u,vowel,r,consanent,a,vowel
12, Belize, Belizeans,ans,B,Be,Bel,Beli,e,ze,ize,lize,consanent,vowel,6,e,vowel,l,consanent,i,vowel,z,consanent,i,vowel,l,consanent
13, Benin, Beninese,ese,B,Be,Ben,Beni,n,in,nin,enin,consanent,consanent,5,e,vowel,n,consanent,i,vowel,i,vowel,n,consanent,e,vowel
14, Bhutan, Bhutanese,ese,B,Bh,Bhu,Bhut,n,an,tan,utan,consanent,consanent,6,h,consanent,u,vowel,t,consanent,a,vowel,t,consanent,u,vowel
15, Bolivia, Bolivians,ns,B,Bo,Bol,Boli,a,ia,via,ivia,consanent,vowel,7,o,vowel,l,consanent,i,vowel,i,vowel,v,consanent,i,vowel
16, Brazil, Brazilians,ians,B,Br,Bra,Braz,l,il,zil,azil,consanent,consanent,6,r,consanent,a,vowel,z,consanent,i,vowel,z,consanent,a,vowel
17, Brunei, Bruneians,ans,B,Br,Bru,Brun,i,ei,nei,unei,consanent,vowel,6,r,consanent,u,vowel,n,consanent,e,vowel,n,consanent,u,vowel
18, Bulgaria, Bulgarians,ns,B,Bu,Bul,Bulg,a,ia,ria,aria,consanent,vowel,8,u,vowel,l,consanent,g,consanent,i,vowel,r,consanent,a,vowel
19, Burundi, Burundians,ans,B,Bu,Bur,Buru,i,di,ndi,undi,consanent,vowel,7,u,vowel,r,consanent,u,vowel,d,consanent,n,consanent,u,vowel
20, Cambodia, Cambodians,ns,C,Ca,Cam,Camb,a,ia,dia,odia,consanent,vowel,8,a,vowel,m,consanent,b,consanent,i,vowel,d,consanent,o,vowel
21, Cameroon, Cameroonians,ians,C,Ca,Cam,Came,n,on,oon,roon,consanent,consanent,8,a,vowel,m,consanent,e,vowel,o,vowel,o,vowel,r,consanent
